materias;ÁREA DO CONHECIMENTO
Introdução à Computação Bioinspirada;Programas Interdisciplinares
Introdução à Evolução Biocultural Humana;Programas Interdisciplinares
Introdução à Geometria Computacional: Algoritmos e Aplicações;Programas Interdisciplinares
Introdução à Morfometria Geométrica para Biologia;Programas Interdisciplinares
Laboratório de Medidas e Circuitos Elétricos;Programas Interdisciplinares
Leitura Terapêutica: Teoria, Prática e Pesquisa;Programas Interdisciplinares
Óleos, Gorduras, Grãos e Derivados;Programas Interdisciplinares
Planejamento Experimental e Análise Multivariada;Programas Interdisciplinares
Planejamento Experimental, Análise de Dados e Otimização de processos;Programas Interdisciplinares
Princípios de Instrumentação;Programas Interdisciplinares
Projeto: Arquitetura e Cinema;Programas Interdisciplinares
Psicanálise e Educação: exercícios de Educação Terapêutica;Programas Interdisciplinares
Psicanálise, Infância e Educação;Programas Interdisciplinares
Psicologia da Aprendizagem;Programas Interdisciplinares
Psicologia da Educação : Uma Abordagem Psicossocial do Cotidiano Escolar;Programas Interdisciplinares
Psicologia da Educação I;Programas Interdisciplinares
Psicologia da Educação II;Programas Interdisciplinares
Psicologia da Educação, Desenvolvimento e Práticas Escolares;Programas Interdisciplinares
Psicologia da educação: constituição do sujeito, desenvolvimento e aprendizagem na escola,cultura e sociedade;Programas Interdisciplinares
Psicologia da Saúde;Programas Interdisciplinares
Psicologia da Saúde - Prática Hospitalar;Programas Interdisciplinares
Psicologia do Trabalho, Sociologia do Trabalho e Direito do Trabalho;Programas Interdisciplinares
Psicologia e Educação;Programas Interdisciplinares
Psicologia e Educação: Uma Abordagem do Cotidiano Escolar;Programas Interdisciplinares
Psicologia e Políticas Públicas de Assistência Social;Programas Interdisciplinares
Psicologia e Saúde;Programas Interdisciplinares
Psicologia Escolar e Práticas Institucionais;Programas Interdisciplinares
Psicologia Histórico-Cultural e Educação;Programas Interdisciplinares
Psicologia Política e Políticas Públicas;Programas Interdisciplinares
Psicologia, Educação e Temas Contemporâneos;Programas Interdisciplinares
Psicologia, Educação e Temas Contemporâneos - Uma Abordagem Crítica;Programas Interdisciplinares
Psicologia, Educação e Temas Contemporâneos - Uma Visão Psicanalítica;Programas Interdisciplinares
Psicologia, Educação e Temas Contemporâneos – processos Sociais de Formação dos Indivíduos;Programas Interdisciplinares
Psicopatologia;Programas Interdisciplinares
Psicopatologia Forense;Programas Interdisciplinares
Psicopatologia: Aspectos Teóricos e Prática Clínica;Programas Interdisciplinares
Questões Sociocientíficas na Educação em Saúde;Programas Interdisciplinares
Reitas Públicas e a Exploração de Petróleo, Minério e Energia Elétrica no Brasil;Programas Interdisciplinares
Resolução de Problemas I;Programas Interdisciplinares
Resolução de Problemas II;Programas Interdisciplinares
Resolução de Problemas IV;Programas Interdisciplinares
Resolução de Problemas VI;Programas Interdisciplinares
Seminários de Pesquisas em Contabilidade e Meio Ambiente;Programas Interdisciplinares
Supervised Internship for Foreigners 1;Programas Interdisciplinares
Supervised Internship for Foreigners 2;Programas Interdisciplinares
Sustentabilidade e Organizações;Programas Interdisciplinares
Teorias do Currículo;Programas Interdisciplinares
Trabalho de Conclusão de Curso;Programas Interdisciplinares
Trabalho de Conclusão de Curso I;Programas Interdisciplinares
Trabalho de Conclusão de Curso II;Programas Interdisciplinares
Trabalho de Conclusão de Curso III;Programas Interdisciplinares
Trabalho de Conclusão do Curso I;Programas Interdisciplinares
Trabalho de Conclusão do Curso II;Programas Interdisciplinares
Trabalho de Graduação;Programas Interdisciplinares
Trabalho de Graduação I;Programas Interdisciplinares
Trabalho de Graduação II;Programas Interdisciplinares
Trabalho Final de Graduação I;Programas Interdisciplinares
Trabalho Final de Graduação II;Programas Interdisciplinares
Vida Universitária e Cidadania;Programas Interdisciplinares
Visita em Instituição do Exterior;Programas Interdisciplinares
Vivência Profissional I;Programas Interdisciplinares
Vivência Profissional II;Programas Interdisciplinares
A Escola no Mundo Contemporâneo;Educação
A Escrita no Ensino Fundamental: das Letras aos Textos;Educação
A Filosofia Educacional de John Dewey;Educação
A Matemática na Educação Básica;Educação
Ação Pedagógica Integrada: Educação Infantil I;Educação
Ação Pedagógica Integrada: Educação Infantil II;Educação
Ação Pedagógica Integrada:ensino Fundamental I;Educação
Ação Pedagógica Integrada:ensino Fundamental II;Educação
Afetividade como Valor e os Impasses Educativos;Educação
Álgebra I para Linciatura;Educação
Álgebra II para Linciatura;Educação
Análise de Textos Didáticos;Educação
Análise Retórica de Discursos Pedagógicos;Educação
As Explicações do Fracasso Escolar: Ciência e Ideologia;Educação
Atividades Práticas: Gestão do Processo Educativo;Educação
Atividades Teórico-Práticas em Ensino de Biologia;Educação
Avaliação da Aprendizagem e Prática Pedagógica;Educação
Biologia e Educação;Educação
Botânica para Educação Básica;Educação
Brinquedos e Brincadeiras na Educação Infantil;Educação
Cartografia Escolar;Educação
Conitos de Astronomia para Linciatura;Educação
Consepções e Práticas Pedagógicas de Educação Infantil;Educação
Construindo Um Projeto de Pesquisa na Área da Educação - Questões Epistemológicas e Práticas;Educação
Contexto e Práticas no Ensino de Zoologia;Educação
Coordenação do Trabalho na Escola I;Educação
Cultura e Educação I: Teoria da Complexidade e Cultura Escolar;Educação
Didática;Educação
Didática da Alfabetização: Teoria, Princípios e Prodimentos;Educação
Didática I;Educação
Didática II;Educação
Didática III;Educação
Discutindo os Conitos de Física com as Crianças Pequenas;Educação
Educação Ambiental;Educação
Educação de Jovens e Adultos: Aspectos Históricos, Políticas Públicas e Sujeitos Educandos;Educação
Educação e Atualidade - a Questão do Sujeito;Educação
Educação e Infância Problemática: Elementos de Psicanálise e Educação Especial;Educação
Educação Escolar Inclusiva;Educação
Educação Especial – Fundamentos, Políticas e Práticas Escolares;Educação
Educação Especial e Libras na Perspectiva da Educação Inclusiva;Educação
Educação Especial, Educação de Surdos, Língua Brasileira de Sinais;Educação
Educação especial, inclusão escolar e políticas de atendimento a alunos com deficiência, transtornos globais do desenvolvimento e altas habilidades/superdotação;Educação
Educação Especial: Abordagens e Tendências na Área da Deficiência Intelectual;Educação
Educação Física Escolar Adaptada I;Educação
Educação Física Escolar Adaptada II;Educação
Educação Física na Educação Infantil I;Educação
Educação Física na Educação Infantil II;Educação
Educação Física no Ensino Fundamental do 1º ao 5º ano I;Educação
Educação Física no Ensino Fundamental do 1º ao 5º ano II;Educação
Educação Física no Ensino Fundamental do 6º ao 9º ano I;Educação
Educação Física no Ensino Fundamental do 6º ao 9º ano II;Educação
Educação Física no Ensino Médio I;Educação
Educação Física no Ensino Médio II;Educação
Educação Inclusiva e Ensino de Ciências;Educação
Educação Infantil;Educação
Educação Infantil e Sociedade;Educação
Educação Matemática;Educação
Educação Privada e Educação Pública em Rousseau;Educação
Educação, Meio Ambiente e Sociedade;Educação
Educação: Caráter Universal e Relativismo Histórico;Educação
Elementos de Pedagogia e Didática: interação entre educação e saúde;Educação
Elementos e Estratégia para o Ensino de Física;Educação
Ensino à Distância;Educação
Ensino de Geografia na Educação Básica;Educação
Ensino de História: Teoria e Prática;Educação
Ensino por Investigação e Natureza da Ciência;Educação
Escola, Infância e Cinema;Educação
Escrita, Alfabetização e Letramento: Uma Abordagem Histórica;Educação
Estágio Supervisionado de Ensino de Geografia e Material Didático;Educação
Estágio Supervisionado de Linciatura;Educação
Estágio Supervisionado em Ensino de Biologia;Educação
Estatística no Ensino Básico;Educação
Estratégias e Instrumentos Educacionais para o Ensino de Ciências e Biologia;Educação
Estratégias e recursos para o Ensino de Botânica;Educação
Filmes no Ensino de Biologia;Educação
Filosofia da Educação (Filosofia, Cultura e Educação);Educação
Filosofia da Educação I;Educação
Filosofia da Educação II;Educação
Financiamento da Educação Básica no Brasil;Educação
Financiamento da Educação no Brasil;Educação
Fisiologia para o Ensino Médio;Educação
Fundamentos Antropológicos da Educação;Educação
Fundamentos de Educação Especial;Educação
Fundamentos Históricos e Políticos da Educação Infantil Brasileira;Educação
Genética Prática para a Educação Básica;Educação
Gestão Educacional e Coordenação do Trabalho na Escola I;Educação
Gestão Educacional e Coordenação do Trabalho na Escola II;Educação
Gestão Educacional: Políticas, processos e Cotidiano Escolar;Educação
História da Educação;Educação
História da Educação no Brasil;Educação
História da Escolarização Elementar no Brasil;Educação
História da Escrita e da Leitura na Escola Primária no Brasil;Educação
Indagações Ecológicas no Ambiente Escolar: Aprendizagem e Ensino;Educação
Introdução à Pesquisa Educacional;Educação
Introdução à Pesquisa em Ensino de Física;Educação
Introdução ao Ensino de Biologia;Educação
Introdução aos Estudos da Educação: Enfoque Filosófico;Educação
Introdução aos Estudos da Educação: Enfoque Histórico;Educação
Introdução aos Estudos da Educação: Enfoque Sociológico;Educação
Juventude e Educação;Educação
Leitura e escrita acadêmica na formação de professores I;Educação
Leitura e escrita acadêmica na formação de professores II;Educação
Mecânica para Linciatura em Matemática;Educação
Metodologia da Pesquisa em Ciências da Educação;Educação
Metodologia do Ensino da Língua Portuguesa;Educação
Metodologia do Ensino das Artes Cênicas I;Educação
Metodologia do Ensino das Artes Cênicas II;Educação
Metodologia do Ensino das Artes Cênicas III;Educação
Metodologia do Ensino de Ciências;Educação
Metodologia do Ensino de Ciências Biológicas I;Educação
Metodologia do Ensino de Ciências Biológicas II;Educação
Metodologia do Ensino de Ciências Sociais I;Educação
Metodologia do Ensino de Ciências Sociais II;Educação
Metodologia do Ensino de Educação Física I;Educação
Metodologia do Ensino de Educação Física II;Educação
Metodologia do Ensino de Enfermagem I;Educação
Metodologia do Ensino de Enfermagem II;Educação
Metodologia do Ensino de Filosofia I;Educação
Metodologia do Ensino de Filosofia II;Educação
Metodologia do Ensino de Física I;Educação
Metodologia do Ensino de Física II;Educação
Metodologia do Ensino de Geografia I;Educação
Metodologia do Ensino de Geografia II;Educação
Metodologia do Ensino de História e Geografia;Educação
Metodologia do Ensino de História I;Educação
Metodologia do Ensino de História II;Educação
Metodologia do Ensino de Matemática;Educação
Metodologia do Ensino de Matemática I;Educação
Metodologia do Ensino de Matemática II;Educação
Metodologia do Ensino de Português: a Alfabetização;Educação
Metodologia do Ensino de Psicologia I;Educação
Metodologia do Ensino de Psicologia II;Educação
Mídia e Educação: Um Debate Contemporâneo;Educação
Monografia para Linciatura em Física;Educação
Motivação em Sala de Aula;Educação
Noções de Ensino de Matemática Usando o Computador;Educação
O Ensino de História e a Questão Indígena;Educação
O Pensamento de Rousseau em Educação;Educação
O Projeto Educativo de Platão;Educação
Paulo Freire - Teoria, Método e Práxis;Educação
Pedagogia de Modalidades de Combate, Lutas e Artes Marciais;Educação
Pedagogia e Processos de Criação;Educação
Política e Organização da Educação Básica no Brasil;Educação
Política Educacional e Organização da Educação Básica I;Educação
Política Educacional e Organização da Educação Básica II;Educação
Políticas e Organização da Educação Básica;Educação
Políticas Públicas para Educação no Brasil;Educação
Políticas Públicas para Inclusão Social;Educação
Prática Supervisionada em Queixa Escolar;Educação
Práticas de Ensino de Álgebra I;Educação
Práticas de Ensino de Cálculo Numérico;Educação
Práticas de Ensino de Estatística II;Educação
Práticas de Ensino de Geometria I;Educação
Práticas de Ensino de Geometria II;Educação
Práticas de Ensino de Introdução à Análise;Educação
Práticas Educativas com Grupos: Atividade Integradora;Educação
Práticas em Ensino de Física;Educação
Problemas de Aprendizagem Escolar;Educação
Produção de Conhecimento para Educação Física Escolar;Educação
Produção de Material Didático;Educação
Projeto de Ensino de Matemática;Educação
Projetos - ATPA;Educação
Projetos de Educação Ambiental;Educação
Propostas e Projetos para o Ensino de Física;Educação
Questões de Ensino de Filosofia;Educação
Seminários Avançados em Educação I;Educação
Seminários Avançados em Educação II;Educação
Seminários de Administração Escolar;Educação
Seminários de Administração Escolar II;Educação
Seminários de Cultura Escolar I;Educação
Seminários de Cultura Escolar II;Educação
Seminários de Economia Política da Educação;Educação
Seminários de Economia Política da Educação II;Educação
Seminários de Pesquisa em Educação;Educação
Seminários: Educação e Trabalho;Educação
Sistemas Educacionais Avançados;Educação
Sociologia da Educação;Educação
Sociologia da Educação I;Educação
Sociologia da Educação II;Educação
Sociologia da Educação III (Sociedade, Política e Educação);Educação
Sujeito, Educação e Sociedade;Educação
Supervisão e Coordenação Pedagógica: Fundamentos Teórico-Metodológicos;Educação
Teatro e Educação I;Educação
Teatro e Educação II;Educação
Tecnologia de Ensino de Física I;Educação
Tecnologia de Ensino de Física II;Educação
Tecnologias da Informação e Comunicação no Ensino de Física;Educação
Temas Transversais em Educação;Educação
Tópicos de Educação Voltados à Questão Ambiental;Educação
Tópicos em Educação do Campo;Educação
Tópicos Especiais de Sociologia da Educação;Educação
Cultura e Educação I I: Imaginário e processos Simbólicos;Educação
Cultura e Organização I: a Multidimensionalidade do Fenômeno Sócio- Organizacional Educativo;Educação
Fundamentos da Educação Física Escolar I;Educação
Fundamentos da Educação Física Escolar II;Educação
História da África e dos Afrodesndentes no Brasil: Conteúdos e Ferramentas Didáticas para a Formação de Professores do Ensino Médio e Fundamental;Educação
"História de Educação Moderna e Contemporânea: Os Pedagogos 'Menores""";Educação
Linguagem Infantil I;Educação
Linguagem Infantil II;Educação
Comunicação Dialógica para Organizações;Educação
A Construção Cultural do Significado;Humanidades e Linguagens
A Função Poética da Linguagem da Arquitetura e do Design e a Cultura Brasileira;Humanidades e Linguagens
A Hegemonia Ocidental no Mundo Contemporâneo: Origens, Causas e Consequências;Humanidades e Linguagens
A memória e suas artes: espaço-tempo, imagem-narrativa, corpo-ritual;Humanidades e Linguagens
A Música do Brasil Independente;Humanidades e Linguagens
A Revolução Russa: História e Historiografia;Humanidades e Linguagens
Acão Cultural em Teatro;Humanidades e Linguagens
Acústica;Humanidades e Linguagens
Acústica da Voz;Humanidades e Linguagens
Administração e Produção Audiovisual I;Humanidades e Linguagens
Administração e Produção Audiovisual II;Humanidades e Linguagens
Administração e Produção Audiovisual III;Humanidades e Linguagens
Adornos Corporais - Linguagens, Formas, Criação;Humanidades e Linguagens
América Latina e Guerra Fria;Humanidades e Linguagens
Amor: Um Fenômeno Social e Existêncial;Humanidades e Linguagens
Análise da Produção Audiovisual Contemporânea;Humanidades e Linguagens
Análise de Campanhas de Comunicação;Humanidades e Linguagens
Aquisição e Desenvolvimento da Linguagem I;Humanidades e Linguagens
Aquisição e Desenvolvimento da Linguagem II;Humanidades e Linguagens
Aramaico Bíblico;Humanidades e Linguagens
Arte do Século XX no Arvo do MAC;Humanidades e Linguagens
Arte e Arquitetura Contemporâneas: Fronteiras e Dinâmicas de Colaboração;Humanidades e Linguagens
Arte e Arquitetura No Brasil Nos Seculos XIX e XX;Humanidades e Linguagens
Arte e Imaginário Contemporâneo;Humanidades e Linguagens
Arte e Música na Educação: Fundamentos e Práticas;Humanidades e Linguagens
Arte e Projeto da Paisagem;Humanidades e Linguagens
Arte e Semiótica;Humanidades e Linguagens
Arte e Vida Urbana;Humanidades e Linguagens
Arte Italiana do Renascimento e do Barroco;Humanidades e Linguagens
Arte, Estética e Ação Educativa;Humanidades e Linguagens
Arte, Literatura e Cultura;Humanidades e Linguagens
Arte, Literatura e Cultura - Arte Contemporânea;Humanidades e Linguagens
Arte, Literatura e Cultura - Literatura Contemporânea;Humanidades e Linguagens
Arte, Literatura e Cultura – Fantasia e Ficção Científica na Cultura Pop;Humanidades e Linguagens
Artes Ameríndias em Contexto Global: Artistas, Objetos, Coleções;Humanidades e Linguagens
Artes e Design Visuais;Humanidades e Linguagens
Aspectos da Linguagem Contemporânea;Humanidades e Linguagens
Ateliê Livre;Humanidades e Linguagens
Atividades Práticas em Filosofia;Humanidades e Linguagens
Atividades Práticas em História;Humanidades e Linguagens
Atuação I;Humanidades e Linguagens
Bíblia: história e memória;Humanidades e Linguagens
Cartografia Tematica;Humanidades e Linguagens
Cenografia I;Humanidades e Linguagens
Ciência e Cultura;Humanidades e Linguagens
Ciências Humanas em Saúde: História e Filosofia;Humanidades e Linguagens
Cinema e Direito do Trabalho;Humanidades e Linguagens
Comunicação e Informação de Moda;Humanidades e Linguagens
Comunicação, Culturas e Diversidades Étnico-Sociais;Humanidades e Linguagens
Corpo, Arte, Moda;Humanidades e Linguagens
Criações Alternativas;Humanidades e Linguagens
Crítica do Audiovisual;Humanidades e Linguagens
Cultura Visual e Ensino de História;Humanidades e Linguagens
Dança Contemporânea I;Humanidades e Linguagens
Dança Contemporânea II;Humanidades e Linguagens
Dança Contemporânea III;Humanidades e Linguagens
Dança Contemporânea IV;Humanidades e Linguagens
Desenho;Humanidades e Linguagens
Desenho de Observação;Humanidades e Linguagens
Desenho de Têxtil e Moda I;Humanidades e Linguagens
Desenho de Têxtil e Moda II;Humanidades e Linguagens
Desenho e Ilustração de Têxtil e Moda;Humanidades e Linguagens
Desenho Gráfico Experimental;Humanidades e Linguagens
Design de Assórios de Têxtil e Moda;Humanidades e Linguagens
Design de Superfície em Têxtil e Moda;Humanidades e Linguagens
Design do Objeto;Humanidades e Linguagens
Design e Produção Gráfica;Humanidades e Linguagens
Direção de Arte;Humanidades e Linguagens
Direção de Atores I;Humanidades e Linguagens
Direção de atores II;Humanidades e Linguagens
Direção I;Humanidades e Linguagens
Direção II;Humanidades e Linguagens
Direção III;Humanidades e Linguagens
Direção IV;Humanidades e Linguagens
Direção Teatral I;Humanidades e Linguagens
Direção Teatral II;Humanidades e Linguagens
Dramaturgia Audiovisual I;Humanidades e Linguagens
Dramaturgia Audiovisual II;Humanidades e Linguagens
Dramaturgia Audiovisual III;Humanidades e Linguagens
Dramaturgia Audiovisual IV;Humanidades e Linguagens
Dramaturgia I;Humanidades e Linguagens
Dramaturgia II;Humanidades e Linguagens
Dramaturgia III;Humanidades e Linguagens
Eco Design Têxtil;Humanidades e Linguagens
Ensino da Arte e Design em Têxtil e Moda;Humanidades e Linguagens
Epistemologia das Ciências Humanas;Humanidades e Linguagens
Ergonomia e Design de Moda;Humanidades e Linguagens
Estética do Audiovisual I;Humanidades e Linguagens
Estética do Audiovisual II;Humanidades e Linguagens
Estética dos Meios de Comunicação;Humanidades e Linguagens
Estética e História da Arte I;Humanidades e Linguagens
Estética e História da Arte II;Humanidades e Linguagens
Estética e História da Arte Moderna;Humanidades e Linguagens
Estética e História da Arte Moderna Brasileira;Humanidades e Linguagens
Estética I;Humanidades e Linguagens
Estética II;Humanidades e Linguagens
Estética III;Humanidades e Linguagens
Estética IV;Humanidades e Linguagens
Estudos em História da Arquitetura e do Urbanismo;Humanidades e Linguagens
Estudos em História da Arquitetura I;Humanidades e Linguagens
Estudos Latino-americanos: Ficção e História;Humanidades e Linguagens
Ética Geral e Profissional;Humanidades e Linguagens
Ética Profissional;Humanidades e Linguagens
Etnografia Têxtil: da Teoria ao Campo;Humanidades e Linguagens
Etnologia Comparada: Cosmologias Indígenas Sul-americanas;Humanidades e Linguagens
Exercicios do Olhar: Uma Fenomenologia da Arte;Humanidades e Linguagens
Filosofia da Arte;Humanidades e Linguagens
Filosofia da Física;Humanidades e Linguagens
